node,attributes
P160,{'bipartite': 'action'}
C484,{'bipartite': 'observation'}
C14818,{'bipartite': 'observation'}
C63584,{'bipartite': 'observation'}
C137006,{'bipartite': 'observation'}
C147030,{'bipartite': 'observation'}
C159021,{'bipartite': 'observation'}
C205067,{'bipartite': 'observation'}
C353381,{'bipartite': 'observation'}
C664459,{'bipartite': 'observation'}
C765950,{'bipartite': 'observation'}
C781146,{'bipartite': 'observation'}
C783022,{'bipartite': 'observation'}
C796473,{'bipartite': 'observation'}
C811841,{'bipartite': 'observation'}
C862154,{'bipartite': 'observation'}
C863366,{'bipartite': 'observation'}
C870081,{'bipartite': 'observation'}
C883351,{'bipartite': 'observation'}
C894051,{'bipartite': 'observation'}
C898798,{'bipartite': 'observation'}
C903018,{'bipartite': 'observation'}
C906050,{'bipartite': 'observation'}
C906473,{'bipartite': 'observation'}
C908374,{'bipartite': 'observation'}
C908569,{'bipartite': 'observation'}
C910492,{'bipartite': 'observation'}
C911337,{'bipartite': 'observation'}
C911520,{'bipartite': 'observation'}
C915036,{'bipartite': 'observation'}
C915190,{'bipartite': 'observation'}
C915383,{'bipartite': 'observation'}
C915491,{'bipartite': 'observation'}
C915719,{'bipartite': 'observation'}
C916101,{'bipartite': 'observation'}
C917977,{'bipartite': 'observation'}
C919546,{'bipartite': 'observation'}
C919901,{'bipartite': 'observation'}
C921248,{'bipartite': 'observation'}
C921545,{'bipartite': 'observation'}
C921731,{'bipartite': 'observation'}
C922307,{'bipartite': 'observation'}
C923300,{'bipartite': 'observation'}
P351,{'bipartite': 'action'}
P477,{'bipartite': 'action'}
P484,{'bipartite': 'action'}
P3098,{'bipartite': 'action'}
P3320,{'bipartite': 'action'}
C921568,{'bipartite': 'observation'}
P3785,{'bipartite': 'action'}
P6432,{'bipartite': 'action'}
C870889,{'bipartite': 'observation'}
C923147,{'bipartite': 'observation'}
P6971,{'bipartite': 'action'}
P8882,{'bipartite': 'action'}
P15745,{'bipartite': 'action'}
P18701,{'bipartite': 'action'}
P19073,{'bipartite': 'action'}
C915251,{'bipartite': 'observation'}
P22624,{'bipartite': 'action'}
P29729,{'bipartite': 'action'}
P42615,{'bipartite': 'action'}
P53860,{'bipartite': 'action'}
P59233,{'bipartite': 'action'}
P66366,{'bipartite': 'action'}
P68954,{'bipartite': 'action'}
P84719,{'bipartite': 'action'}
C921393,{'bipartite': 'observation'}
P97992,{'bipartite': 'action'}
C735917,{'bipartite': 'observation'}
P130384,{'bipartite': 'action'}
P137006,{'bipartite': 'action'}
C890918,{'bipartite': 'observation'}
P140664,{'bipartite': 'action'}
C911413,{'bipartite': 'observation'}
P147030,{'bipartite': 'action'}
C885578,{'bipartite': 'observation'}
C885622,{'bipartite': 'observation'}
C904797,{'bipartite': 'observation'}
C909491,{'bipartite': 'observation'}
C911227,{'bipartite': 'observation'}
C912217,{'bipartite': 'observation'}
C919399,{'bipartite': 'observation'}
C921504,{'bipartite': 'observation'}
C921513,{'bipartite': 'observation'}
C925697,{'bipartite': 'observation'}
P165078,{'bipartite': 'action'}
P166761,{'bipartite': 'action'}
C910816,{'bipartite': 'observation'}
P173306,{'bipartite': 'action'}
P179277,{'bipartite': 'action'}
P180811,{'bipartite': 'action'}
P186163,{'bipartite': 'action'}
P205067,{'bipartite': 'action'}
P213733,{'bipartite': 'action'}
P216168,{'bipartite': 'action'}
P250566,{'bipartite': 'action'}
P270500,{'bipartite': 'action'}
P275891,{'bipartite': 'action'}
P323851,{'bipartite': 'action'}
P346436,{'bipartite': 'action'}
P350459,{'bipartite': 'action'}
P367038,{'bipartite': 'action'}
P369892,{'bipartite': 'action'}
C927540,{'bipartite': 'observation'}
P384930,{'bipartite': 'action'}
C915523,{'bipartite': 'observation'}
P385982,{'bipartite': 'action'}
P404218,{'bipartite': 'action'}
P405954,{'bipartite': 'action'}
P409010,{'bipartite': 'action'}
P411745,{'bipartite': 'action'}
P419371,{'bipartite': 'action'}
P425992,{'bipartite': 'action'}
P438488,{'bipartite': 'action'}
P440756,{'bipartite': 'action'}
P450053,{'bipartite': 'action'}
P464262,{'bipartite': 'action'}
P472970,{'bipartite': 'action'}
P476404,{'bipartite': 'action'}
P477643,{'bipartite': 'action'}
P490794,{'bipartite': 'action'}
P506327,{'bipartite': 'action'}
P527710,{'bipartite': 'action'}
P530659,{'bipartite': 'action'}
P534826,{'bipartite': 'action'}
P599476,{'bipartite': 'action'}
P599593,{'bipartite': 'action'}
P615980,{'bipartite': 'action'}
P662980,{'bipartite': 'action'}
P664459,{'bipartite': 'action'}
P677256,{'bipartite': 'action'}
P678997,{'bipartite': 'action'}
P699883,{'bipartite': 'action'}
P702174,{'bipartite': 'action'}
P703773,{'bipartite': 'action'}
P708087,{'bipartite': 'action'}
P724142,{'bipartite': 'action'}
P725272,{'bipartite': 'action'}
P726060,{'bipartite': 'action'}
P741671,{'bipartite': 'action'}
P743099,{'bipartite': 'action'}
P743476,{'bipartite': 'action'}
P747360,{'bipartite': 'action'}
P758614,{'bipartite': 'action'}
P769610,{'bipartite': 'action'}
P773414,{'bipartite': 'action'}
P778825,{'bipartite': 'action'}
P779051,{'bipartite': 'action'}
P789609,{'bipartite': 'action'}
P790453,{'bipartite': 'action'}
P811841,{'bipartite': 'action'}
P828927,{'bipartite': 'action'}
P836114,{'bipartite': 'action'}
P854537,{'bipartite': 'action'}
P858865,{'bipartite': 'action'}
P863366,{'bipartite': 'action'}
P863566,{'bipartite': 'action'}
P869384,{'bipartite': 'action'}
P894051,{'bipartite': 'action'}
C894472,{'bipartite': 'observation'}
P898798,{'bipartite': 'action'}
P906473,{'bipartite': 'action'}
P908946,{'bipartite': 'action'}
P910492,{'bipartite': 'action'}
P911227,{'bipartite': 'action'}
P915251,{'bipartite': 'action'}
P921545,{'bipartite': 'action'}
P921683,{'bipartite': 'action'}
P923113,{'bipartite': 'action'}
P930048,{'bipartite': 'action'}
P960916,{'bipartite': 'action'}
P999066,{'bipartite': 'action'}
P1002688,{'bipartite': 'action'}
P1005840,{'bipartite': 'action'}
P1006407,{'bipartite': 'action'}
P1032700,{'bipartite': 'action'}
P1079214,{'bipartite': 'action'}
P1082970,{'bipartite': 'action'}
P1142264,{'bipartite': 'action'}
P1161364,{'bipartite': 'action'}
P1234247,{'bipartite': 'action'}
P1304002,{'bipartite': 'action'}
P1355780,{'bipartite': 'action'}
P1369015,{'bipartite': 'action'}
P1442162,{'bipartite': 'action'}
P1530852,{'bipartite': 'action'}
P1546239,{'bipartite': 'action'}
P1567800,{'bipartite': 'action'}
C918461,{'bipartite': 'observation'}
P1598908,{'bipartite': 'action'}
P1625055,{'bipartite': 'action'}
P1722768,{'bipartite': 'action'}
P1790012,{'bipartite': 'action'}
P1835073,{'bipartite': 'action'}
P1853409,{'bipartite': 'action'}
P2028662,{'bipartite': 'action'}
P2093755,{'bipartite': 'action'}
P2164172,{'bipartite': 'action'}
P2352919,{'bipartite': 'action'}
P2413764,{'bipartite': 'action'}
P2437951,{'bipartite': 'action'}
P2626695,{'bipartite': 'action'}
P2835215,{'bipartite': 'action'}
P3236772,{'bipartite': 'action'}
P3270248,{'bipartite': 'action'}
