source,target,weight
P160,C137006,{'weight': 30}
P160,C159021,{'weight': 4}
P160,C353381,{'weight': 65}
P160,C397396,{'weight': 2}
P160,C493588,{'weight': 2}
P160,C781146,{'weight': 40}
P160,C783022,{'weight': 7}
P160,C796473,{'weight': 17}
P160,C811841,{'weight': 18}
P160,C894051,{'weight': 10}
P160,C902540,{'weight': 5}
P160,C908252,{'weight': 2}
P160,C908366,{'weight': 22}
P160,C921828,{'weight': 2}
P160,C923147,{'weight': 3}
P160,C923984,{'weight': 9}
P160,C992892,{'weight': 7}
P160,C1181272,{'weight': 5}
P160,C1261801,{'weight': 9}
P160,C1358449,{'weight': 41}
P160,C1366416,{'weight': 10}
P160,C1367814,{'weight': 2}
P160,C1488476,{'weight': 3}
P160,C1549714,{'weight': 4}
P160,C1574197,{'weight': 2}
P160,C1583947,{'weight': 3}
P160,C1613966,{'weight': 4}
P160,C1615403,{'weight': 2}
P160,C1617064,{'weight': 4}
P160,C1617933,{'weight': 2}
P160,C1621963,{'weight': 2}
P160,C1622501,{'weight': 6}
P160,C1624070,{'weight': 3}
P160,C1651706,{'weight': 4}
P160,C1653354,{'weight': 19}
P160,C1656170,{'weight': 2}
P160,C1656460,{'weight': 5}
P160,C1657945,{'weight': 29}
P160,C1660169,{'weight': 5}
P160,C1663808,{'weight': 13}
P160,C1666984,{'weight': 4}
P160,C1669656,{'weight': 6}
P160,C1669840,{'weight': 2}
P160,C1669992,{'weight': 2}
P160,C1670024,{'weight': 4}
P160,C1670095,{'weight': 7}
P160,C1670296,{'weight': 2}
P160,C1670953,{'weight': 2}
P160,C1671384,{'weight': 2}
P160,C1672319,{'weight': 6}
P160,C1672916,{'weight': 3}
P160,C1674955,{'weight': 4}
P160,C1675067,{'weight': 2}
P160,C1675212,{'weight': 2}
P160,C1675724,{'weight': 3}
P160,C1675745,{'weight': 5}
P160,C1677401,{'weight': 4}
P160,C1677745,{'weight': 6}
P160,C1680500,{'weight': 8}
P160,C1680506,{'weight': 2}
P160,C1680928,{'weight': 13}
P160,C1684746,{'weight': 2}
P160,C1689260,{'weight': 3}
P160,C1690243,{'weight': 3}
P160,C1699379,{'weight': 2}
P160,C1715870,{'weight': 6}
C137006,P147030,{'weight': 12}
C137006,P599476,{'weight': 7}
C137006,P811841,{'weight': 5}
C137006,P894051,{'weight': 2}
C137006,P1005840,{'weight': 4}
C137006,P1281677,{'weight': 2}
C137006,P1599036,{'weight': 13}
C159021,P3320,{'weight': 2}
C159021,P11861,{'weight': 4}
C159021,P26121,{'weight': 4}
C159021,P29729,{'weight': 15}
C159021,P147030,{'weight': 32}
C159021,P599476,{'weight': 6}
C159021,P677256,{'weight': 10}
C159021,P726089,{'weight': 3}
C159021,P811841,{'weight': 6}
C159021,P885619,{'weight': 2}
C159021,P894051,{'weight': 2}
C159021,P911227,{'weight': 6}
C159021,P1002688,{'weight': 2}
C159021,P1125847,{'weight': 3}
C159021,P1185048,{'weight': 4}
C159021,P1598908,{'weight': 4}
C159021,P1599036,{'weight': 4}
C353381,P305,{'weight': 6}
C353381,P351,{'weight': 4}
C353381,P1453,{'weight': 2}
C353381,P3098,{'weight': 2}
C353381,P3320,{'weight': 4}
C353381,P15745,{'weight': 2}
C353381,P17695,{'weight': 2}
C353381,P29729,{'weight': 8}
C353381,P39660,{'weight': 5}
C353381,P42615,{'weight': 2}
C353381,P43815,{'weight': 3}
C353381,P57863,{'weight': 3}
C353381,P137006,{'weight': 2}
C353381,P147030,{'weight': 195}
C353381,P165078,{'weight': 3}
C353381,P166761,{'weight': 2}
C353381,P169494,{'weight': 2}
C353381,P180811,{'weight': 104}
C353381,P187480,{'weight': 2}
C353381,P270365,{'weight': 16}
C353381,P330022,{'weight': 2}
C353381,P330465,{'weight': 5}
C353381,P346436,{'weight': 2}
C353381,P382370,{'weight': 3}
C353381,P385982,{'weight': 20}
C353381,P396990,{'weight': 2}
C353381,P419371,{'weight': 34}
C353381,P450053,{'weight': 10}
C353381,P490794,{'weight': 3}
C353381,P491170,{'weight': 2}
C353381,P527710,{'weight': 5}
C353381,P534826,{'weight': 3}
C353381,P599476,{'weight': 52}
C353381,P616669,{'weight': 9}
C353381,P631947,{'weight': 2}
C353381,P664459,{'weight': 6}
C353381,P677256,{'weight': 8}
C353381,P677392,{'weight': 3}
C353381,P726089,{'weight': 8}
C353381,P743099,{'weight': 3}
C353381,P743476,{'weight': 2}
C353381,P766577,{'weight': 6}
C353381,P778825,{'weight': 6}
C353381,P783022,{'weight': 2}
C353381,P785914,{'weight': 2}
C353381,P789609,{'weight': 2}
C353381,P796473,{'weight': 10}
C353381,P811841,{'weight': 2}
C353381,P883351,{'weight': 6}
C353381,P885619,{'weight': 13}
C353381,P894051,{'weight': 172}
C353381,P978746,{'weight': 15}
C353381,P999066,{'weight': 19}
C353381,P1005840,{'weight': 18}
C353381,P1006407,{'weight': 58}
C353381,P1019741,{'weight': 3}
C353381,P1032700,{'weight': 4}
C353381,P1042599,{'weight': 13}
C353381,P1082970,{'weight': 2}
C353381,P1114896,{'weight': 2}
C353381,P1125847,{'weight': 15}
C353381,P1160263,{'weight': 2}
C353381,P1167568,{'weight': 2}
C353381,P1214168,{'weight': 2}
C353381,P1236256,{'weight': 2}
C353381,P1257252,{'weight': 3}
C353381,P1276083,{'weight': 4}
C353381,P1297026,{'weight': 5}
C353381,P1325862,{'weight': 2}
C353381,P1330762,{'weight': 4}
C353381,P1354686,{'weight': 3}
C353381,P1362207,{'weight': 10}
C353381,P1365088,{'weight': 2}
C353381,P1369015,{'weight': 21}
C353381,P1375855,{'weight': 2}
C353381,P1411960,{'weight': 2}
C353381,P1422753,{'weight': 3}
C353381,P1430839,{'weight': 2}
C353381,P1442162,{'weight': 14}
C353381,P1451786,{'weight': 5}
C353381,P1484582,{'weight': 37}
C353381,P1509945,{'weight': 7}
C353381,P1529405,{'weight': 2}
C353381,P1530852,{'weight': 45}
C353381,P1546239,{'weight': 4}
C353381,P1598908,{'weight': 11}
C353381,P1599036,{'weight': 34}
C353381,P1653354,{'weight': 3}
C353381,P1673632,{'weight': 4}
C353381,P1686293,{'weight': 11}
C353381,P1719254,{'weight': 2}
C353381,P1790012,{'weight': 12}
C353381,P1791447,{'weight': 2}
C353381,P1853409,{'weight': 10}
C353381,P1922575,{'weight': 2}
C353381,P1990137,{'weight': 5}
C353381,P2063214,{'weight': 2}
C353381,P2078771,{'weight': 2}
C353381,P2164172,{'weight': 4}
C353381,P2283087,{'weight': 2}
C353381,P2626695,{'weight': 4}
C353381,P2747734,{'weight': 6}
C353381,P3059808,{'weight': 3}
C353381,P3528800,{'weight': 2}
C353381,P3565390,{'weight': 2}
C353381,P3618354,{'weight': 2}
C353381,P3782665,{'weight': 3}
C781146,P29729,{'weight': 4}
C781146,P147030,{'weight': 41}
C781146,P419371,{'weight': 2}
C781146,P599476,{'weight': 19}
C781146,P664459,{'weight': 4}
C781146,P726089,{'weight': 2}
C781146,P766577,{'weight': 5}
C781146,P811841,{'weight': 2}
C781146,P894051,{'weight': 12}
C781146,P923147,{'weight': 3}
C781146,P1005840,{'weight': 4}
C781146,P1082970,{'weight': 2}
C781146,P1125847,{'weight': 7}
C781146,P1509945,{'weight': 2}
C781146,P1599036,{'weight': 8}
C781146,P2554773,{'weight': 2}
C783022,P351,{'weight': 2}
C783022,P29729,{'weight': 4}
C783022,P147030,{'weight': 14}
C783022,P599476,{'weight': 2}
C783022,P766577,{'weight': 2}
C783022,P811841,{'weight': 43}
C783022,P894051,{'weight': 6}
C783022,P1002688,{'weight': 2}
C783022,P1005840,{'weight': 2}
C783022,P1006407,{'weight': 3}
C783022,P1125847,{'weight': 3}
C783022,P1484582,{'weight': 2}
C783022,P1599036,{'weight': 17}
C783022,P2626695,{'weight': 3}
C796473,P3320,{'weight': 2}
C796473,P29729,{'weight': 10}
C796473,P84276,{'weight': 2}
C796473,P97992,{'weight': 2}
C796473,P140664,{'weight': 2}
C796473,P147030,{'weight': 38}
C796473,P180811,{'weight': 4}
C796473,P350459,{'weight': 6}
C796473,P574531,{'weight': 2}
C796473,P599476,{'weight': 4}
C796473,P664459,{'weight': 7}
C796473,P677256,{'weight': 8}
C796473,P883351,{'weight': 5}
C796473,P885619,{'weight': 2}
C796473,P894051,{'weight': 24}
C796473,P1006407,{'weight': 6}
C796473,P1082970,{'weight': 3}
C796473,P1125847,{'weight': 4}
C796473,P1142264,{'weight': 2}
C796473,P1297026,{'weight': 2}
C796473,P1301132,{'weight': 3}
C796473,P1484582,{'weight': 3}
C796473,P1530852,{'weight': 3}
C796473,P1598908,{'weight': 3}
C796473,P1599036,{'weight': 4}
C796473,P1623532,{'weight': 2}
C796473,P1656262,{'weight': 2}
C796473,P1853409,{'weight': 2}
C811841,P3320,{'weight': 5}
C811841,P26121,{'weight': 2}
C811841,P29153,{'weight': 7}
C811841,P29729,{'weight': 12}
C811841,P43815,{'weight': 2}
C811841,P147030,{'weight': 29}
C811841,P385982,{'weight': 3}
C811841,P599476,{'weight': 6}
C811841,P664459,{'weight': 2}
C811841,P677256,{'weight': 12}
C811841,P699883,{'weight': 2}
C811841,P703773,{'weight': 2}
C811841,P766577,{'weight': 3}
C811841,P783022,{'weight': 6}
C811841,P894051,{'weight': 5}
C811841,P1082970,{'weight': 7}
C811841,P1463753,{'weight': 8}
C811841,P1589594,{'weight': 3}
C811841,P1598908,{'weight': 6}
C811841,P1599036,{'weight': 16}
C894051,P3320,{'weight': 2}
C894051,P29729,{'weight': 3}
C894051,P43815,{'weight': 2}
C894051,P137006,{'weight': 2}
C894051,P147030,{'weight': 22}
C894051,P599476,{'weight': 10}
C894051,P677256,{'weight': 3}
C894051,P726089,{'weight': 2}
C894051,P796473,{'weight': 9}
C894051,P1002688,{'weight': 2}
C894051,P1005840,{'weight': 3}
C894051,P1082970,{'weight': 2}
C894051,P1096943,{'weight': 2}
C894051,P1125847,{'weight': 5}
C894051,P1297026,{'weight': 5}
C894051,P1422753,{'weight': 2}
C894051,P1598908,{'weight': 3}
C894051,P1599036,{'weight': 11}
C894051,P1920385,{'weight': 3}
C894051,P2839029,{'weight': 2}
C902540,P147030,{'weight': 8}
C902540,P599476,{'weight': 4}
C902540,P796473,{'weight': 2}
C902540,P1599036,{'weight': 2}
C908252,P147030,{'weight': 5}
C908366,P3098,{'weight': 3}
C908366,P43815,{'weight': 2}
C908366,P137006,{'weight': 3}
C908366,P147030,{'weight': 24}
C908366,P155951,{'weight': 2}
C908366,P384930,{'weight': 2}
C908366,P599476,{'weight': 3}
C908366,P664459,{'weight': 3}
C908366,P725272,{'weight': 2}
C908366,P796473,{'weight': 4}
C908366,P811841,{'weight': 5}
C908366,P885619,{'weight': 5}
C908366,P894051,{'weight': 12}
C908366,P1297026,{'weight': 2}
C908366,P1375855,{'weight': 2}
C908366,P1501284,{'weight': 2}
C908366,P1509945,{'weight': 2}
C908366,P1599036,{'weight': 26}
C908366,P1769719,{'weight': 3}
C921828,P3320,{'weight': 5}
C921828,P29153,{'weight': 2}
C921828,P29729,{'weight': 21}
