node,attributes
P160,{'bipartite': 'action'}
C137006,{'bipartite': 'observation'}
C159021,{'bipartite': 'observation'}
C353381,{'bipartite': 'observation'}
C397396,{'bipartite': 'observation'}
C493588,{'bipartite': 'observation'}
C781146,{'bipartite': 'observation'}
C783022,{'bipartite': 'observation'}
C796473,{'bipartite': 'observation'}
C811841,{'bipartite': 'observation'}
C894051,{'bipartite': 'observation'}
C902540,{'bipartite': 'observation'}
C908252,{'bipartite': 'observation'}
C908366,{'bipartite': 'observation'}
C921828,{'bipartite': 'observation'}
C923147,{'bipartite': 'observation'}
C923984,{'bipartite': 'observation'}
C992892,{'bipartite': 'observation'}
C1181272,{'bipartite': 'observation'}
C1261801,{'bipartite': 'observation'}
C1358449,{'bipartite': 'observation'}
C1366416,{'bipartite': 'observation'}
C1367814,{'bipartite': 'observation'}
C1488476,{'bipartite': 'observation'}
C1549714,{'bipartite': 'observation'}
C1574197,{'bipartite': 'observation'}
C1583947,{'bipartite': 'observation'}
C1613966,{'bipartite': 'observation'}
C1615403,{'bipartite': 'observation'}
C1617064,{'bipartite': 'observation'}
C1617933,{'bipartite': 'observation'}
C1621963,{'bipartite': 'observation'}
C1622501,{'bipartite': 'observation'}
C1624070,{'bipartite': 'observation'}
C1651706,{'bipartite': 'observation'}
C1653354,{'bipartite': 'observation'}
C1656170,{'bipartite': 'observation'}
C1656460,{'bipartite': 'observation'}
C1657945,{'bipartite': 'observation'}
C1660169,{'bipartite': 'observation'}
C1663808,{'bipartite': 'observation'}
C1666984,{'bipartite': 'observation'}
C1669656,{'bipartite': 'observation'}
C1669840,{'bipartite': 'observation'}
C1669992,{'bipartite': 'observation'}
C1670024,{'bipartite': 'observation'}
C1670095,{'bipartite': 'observation'}
C1670296,{'bipartite': 'observation'}
C1670953,{'bipartite': 'observation'}
C1671384,{'bipartite': 'observation'}
C1672319,{'bipartite': 'observation'}
C1672916,{'bipartite': 'observation'}
C1674955,{'bipartite': 'observation'}
C1675067,{'bipartite': 'observation'}
C1675212,{'bipartite': 'observation'}
C1675724,{'bipartite': 'observation'}
C1675745,{'bipartite': 'observation'}
C1677401,{'bipartite': 'observation'}
C1677745,{'bipartite': 'observation'}
C1680500,{'bipartite': 'observation'}
C1680506,{'bipartite': 'observation'}
C1680928,{'bipartite': 'observation'}
C1684746,{'bipartite': 'observation'}
C1689260,{'bipartite': 'observation'}
C1690243,{'bipartite': 'observation'}
C1699379,{'bipartite': 'observation'}
C1715870,{'bipartite': 'observation'}
P305,{'bipartite': 'action'}
P351,{'bipartite': 'action'}
C1298821,{'bipartite': 'observation'}
P1453,{'bipartite': 'action'}
P2111,{'bipartite': 'action'}
C1624432,{'bipartite': 'observation'}
P3098,{'bipartite': 'action'}
P3320,{'bipartite': 'action'}
C260910,{'bipartite': 'observation'}
C1245075,{'bipartite': 'observation'}
C1570176,{'bipartite': 'observation'}
C1656262,{'bipartite': 'observation'}
C1670696,{'bipartite': 'observation'}
P11861,{'bipartite': 'action'}
P15745,{'bipartite': 'action'}
P17695,{'bipartite': 'action'}
P18701,{'bipartite': 'action'}
P26121,{'bipartite': 'action'}
C915251,{'bipartite': 'observation'}
P29153,{'bipartite': 'action'}
P29729,{'bipartite': 'action'}
C13244,{'bipartite': 'observation'}
C454115,{'bipartite': 'observation'}
C885619,{'bipartite': 'observation'}
C1032427,{'bipartite': 'observation'}
C1079727,{'bipartite': 'observation'}
C1343226,{'bipartite': 'observation'}
C1365267,{'bipartite': 'observation'}
C1393573,{'bipartite': 'observation'}
C1542653,{'bipartite': 'observation'}
C1619976,{'bipartite': 'observation'}
C1623674,{'bipartite': 'observation'}
C1663529,{'bipartite': 'observation'}
C1663746,{'bipartite': 'observation'}
C1674137,{'bipartite': 'observation'}
C1688879,{'bipartite': 'observation'}
C1688908,{'bipartite': 'observation'}
C1695874,{'bipartite': 'observation'}
C1696420,{'bipartite': 'observation'}
P39660,{'bipartite': 'action'}
P42615,{'bipartite': 'action'}
C1634940,{'bipartite': 'observation'}
P43815,{'bipartite': 'action'}
P52839,{'bipartite': 'action'}
C1682356,{'bipartite': 'observation'}
P57863,{'bipartite': 'action'}
P65539,{'bipartite': 'action'}
P72880,{'bipartite': 'action'}
P84276,{'bipartite': 'action'}
P97992,{'bipartite': 'action'}
C1281677,{'bipartite': 'observation'}
C1689478,{'bipartite': 'observation'}
P137006,{'bipartite': 'action'}
P140664,{'bipartite': 'action'}
P147030,{'bipartite': 'action'}
C63584,{'bipartite': 'observation'}
C215911,{'bipartite': 'observation'}
C657977,{'bipartite': 'observation'}
C664459,{'bipartite': 'observation'}
C735917,{'bipartite': 'observation'}
C842327,{'bipartite': 'observation'}
C844462,{'bipartite': 'observation'}
C883351,{'bipartite': 'observation'}
C908315,{'bipartite': 'observation'}
C908569,{'bipartite': 'observation'}
C1432092,{'bipartite': 'observation'}
C1501284,{'bipartite': 'observation'}
C1530730,{'bipartite': 'observation'}
C1572584,{'bipartite': 'observation'}
C1589594,{'bipartite': 'observation'}
C1595603,{'bipartite': 'observation'}
C1613781,{'bipartite': 'observation'}
C1616915,{'bipartite': 'observation'}
C1626775,{'bipartite': 'observation'}
C1634747,{'bipartite': 'observation'}
C1636662,{'bipartite': 'observation'}
C1646196,{'bipartite': 'observation'}
C1656289,{'bipartite': 'observation'}
C1663302,{'bipartite': 'observation'}
C1666955,{'bipartite': 'observation'}
C1670644,{'bipartite': 'observation'}
C1670651,{'bipartite': 'observation'}
C1672448,{'bipartite': 'observation'}
C1675130,{'bipartite': 'observation'}
C1675600,{'bipartite': 'observation'}
C1676345,{'bipartite': 'observation'}
C1680671,{'bipartite': 'observation'}
C1680805,{'bipartite': 'observation'}
C1681458,{'bipartite': 'observation'}
C1688961,{'bipartite': 'observation'}
C1689931,{'bipartite': 'observation'}
C1690043,{'bipartite': 'observation'}
C1690146,{'bipartite': 'observation'}
C1690154,{'bipartite': 'observation'}
