source,target,weight
P1,C17,{'weight': 6}
P1,C28,{'weight': 92}
P1,C477,{'weight': 27}
P1,C819,{'weight': 19}
P1,C851,{'weight': 2}
P1,C1928,{'weight': 7}
P1,C2492,{'weight': 6}
P1,C2692,{'weight': 9}
P1,C2991,{'weight': 94}
P1,C3494,{'weight': 75}
P1,C3558,{'weight': 6}
P1,C3809,{'weight': 5}
P1,C4005,{'weight': 19}
P1,C4430,{'weight': 2}
P1,C4508,{'weight': 2}
P1,C4862,{'weight': 53}
P1,C5327,{'weight': 3}
P1,C6333,{'weight': 4}
P1,C6930,{'weight': 8}
P1,C7302,{'weight': 9}
P1,C8778,{'weight': 10}
P1,C9335,{'weight': 8}
P1,C9572,{'weight': 4}
P1,C9638,{'weight': 3}
P1,C10201,{'weight': 3}
P1,C13979,{'weight': 8}
P1,C15206,{'weight': 5}
P1,C16101,{'weight': 3}
P1,C16404,{'weight': 2}
P1,C16460,{'weight': 5}
P1,C17092,{'weight': 2}
P1,C17695,{'weight': 11}
P1,C17796,{'weight': 54}
P1,C18790,{'weight': 7}
P1,C20270,{'weight': 16}
P1,C21209,{'weight': 5}
P1,C23297,{'weight': 6}
P1,C23556,{'weight': 2}
P1,C28037,{'weight': 5}
P1,C29074,{'weight': 3}
P1,C29310,{'weight': 5}
P1,C29735,{'weight': 9}
P1,C29864,{'weight': 5}
P1,C29949,{'weight': 2}
P1,C30502,{'weight': 8}
P1,C31131,{'weight': 2}
P1,C31167,{'weight': 5}
P1,C31262,{'weight': 13}
P1,C32544,{'weight': 6}
P1,C32603,{'weight': 3}
P1,C34038,{'weight': 18}
P1,C35597,{'weight': 4}
P1,C36130,{'weight': 16}
P1,C37319,{'weight': 4}
P1,C38530,{'weight': 7}
P1,C39646,{'weight': 2}
P1,C43687,{'weight': 2}
P1,C46415,{'weight': 11}
P1,C47230,{'weight': 4}
P1,C60643,{'weight': 4}
P1,C61883,{'weight': 2}
P1,C63735,{'weight': 2}
P1,C79703,{'weight': 5}
P1,C112125,{'weight': 13}
P1,C115786,{'weight': 3}
P1,C116021,{'weight': 8}
P1,C118115,{'weight': 3}
P1,C133261,{'weight': 2}
P1,C142546,{'weight': 4}
P1,C143793,{'weight': 2}
P1,C147856,{'weight': 5}
P1,C153797,{'weight': 3}
P1,C172345,{'weight': 6}
P1,C179103,{'weight': 31}
P1,C182135,{'weight': 2}
P1,C182360,{'weight': 2}
P1,C183998,{'weight': 4}
P1,C205708,{'weight': 9}
P1,C209572,{'weight': 14}
P1,C228087,{'weight': 2}
P1,C234886,{'weight': 2}
P1,C242610,{'weight': 2}
P1,C282384,{'weight': 2}
P1,C293881,{'weight': 3}
P1,C328713,{'weight': 3}
P1,C333666,{'weight': 3}
P1,C379321,{'weight': 7}
P1,C385008,{'weight': 2}
P1,C387325,{'weight': 10}
P1,C389008,{'weight': 3}
P1,C395294,{'weight': 13}
P1,C398213,{'weight': 5}
P1,C409663,{'weight': 2}
P1,C425620,{'weight': 8}
P1,C432769,{'weight': 2}
P1,C433642,{'weight': 4}
P1,C446984,{'weight': 3}
P1,C447013,{'weight': 3}
P1,C451493,{'weight': 3}
P1,C481366,{'weight': 6}
P1,C516849,{'weight': 3}
P1,C527098,{'weight': 3}
P1,C532567,{'weight': 3}
P1,C548956,{'weight': 3}
P1,C573906,{'weight': 2}
P1,C584114,{'weight': 2}
P1,C603381,{'weight': 3}
P1,C608422,{'weight': 2}
P1,C616107,{'weight': 12}
P1,C641893,{'weight': 7}
P1,C681834,{'weight': 5}
P1,C707355,{'weight': 3}
P1,C717163,{'weight': 2}
P1,C718846,{'weight': 6}
P1,C723116,{'weight': 4}
P1,C725571,{'weight': 3}
P1,C726143,{'weight': 6}
P1,C735311,{'weight': 6}
P1,C742553,{'weight': 8}
P1,C749126,{'weight': 2}
P1,C749714,{'weight': 6}
P1,C750075,{'weight': 2}
P1,C767225,{'weight': 9}
P1,C786521,{'weight': 2}
P1,C793333,{'weight': 2}
P1,C818059,{'weight': 17}
P1,C841757,{'weight': 4}
P1,C841761,{'weight': 2}
P1,C841764,{'weight': 3}
P1,C841772,{'weight': 3}
P1,C845639,{'weight': 3}
P1,C853237,{'weight': 3}
P1,C854590,{'weight': 2}
P1,C858038,{'weight': 2}
P1,C876119,{'weight': 3}
P1,C886846,{'weight': 4}
P1,C888845,{'weight': 2}
P1,C889279,{'weight': 2}
P1,C889967,{'weight': 4}
P1,C895905,{'weight': 2}
P1,C896076,{'weight': 2}
P1,C896133,{'weight': 3}
P1,C896227,{'weight': 5}
P1,C906476,{'weight': 10}
P1,C907645,{'weight': 3}
P1,C910357,{'weight': 5}
P1,C910372,{'weight': 2}
P1,C910696,{'weight': 4}
P1,C910830,{'weight': 3}
P1,C910983,{'weight': 2}
P1,C911023,{'weight': 6}
P1,C911350,{'weight': 4}
P1,C912145,{'weight': 2}
P1,C912930,{'weight': 6}
P1,C913001,{'weight': 19}
P1,C913618,{'weight': 2}
P1,C914722,{'weight': 2}
P1,C916606,{'weight': 4}
P1,C916865,{'weight': 2}
P1,C917926,{'weight': 5}
P1,C918011,{'weight': 2}
P1,C918099,{'weight': 3}
P1,C918287,{'weight': 3}
P1,C918524,{'weight': 5}
P1,C918596,{'weight': 2}
P1,C918644,{'weight': 2}
P1,C918650,{'weight': 7}
P1,C919469,{'weight': 7}
P1,C919599,{'weight': 56}
P1,C920112,{'weight': 7}
P1,C920532,{'weight': 3}
P1,C921129,{'weight': 3}
P1,C922344,{'weight': 2}
P1,C922372,{'weight': 4}
P1,C922760,{'weight': 12}
P1,C925017,{'weight': 2}
P1,C937062,{'weight': 13}
C17,P477,{'weight': 6}
C17,P17695,{'weight': 9}
C17,P32763,{'weight': 2}
C17,P179103,{'weight': 8}
C17,P425620,{'weight': 5}
C28,P1179,{'weight': 3}
C28,P2616,{'weight': 2}
C28,P3057,{'weight': 8}
C28,P4079,{'weight': 2}
C28,P6971,{'weight': 2}
C28,P9572,{'weight': 4}
C28,P10999,{'weight': 13}
C28,P11882,{'weight': 4}
C28,P13377,{'weight': 2}
C28,P16131,{'weight': 2}
C28,P16988,{'weight': 2}
C28,P17695,{'weight': 19}
C28,P34038,{'weight': 4}
C28,P41234,{'weight': 8}
C28,P52839,{'weight': 3}
C28,P81261,{'weight': 2}
C28,P108264,{'weight': 3}
C28,P113689,{'weight': 3}
C28,P141551,{'weight': 5}
C28,P155444,{'weight': 3}
C28,P165078,{'weight': 3}
C28,P170354,{'weight': 2}
C28,P179103,{'weight': 12}
C28,P180811,{'weight': 2}
C28,P195878,{'weight': 11}
C28,P281095,{'weight': 2}
C28,P310151,{'weight': 2}
C28,P317487,{'weight': 4}
C28,P318515,{'weight': 4}
C28,P385008,{'weight': 4}
C28,P409010,{'weight': 4}
C28,P419371,{'weight': 3}
C28,P425620,{'weight': 6}
C28,P476404,{'weight': 4}
C28,P574531,{'weight': 2}
C28,P735311,{'weight': 6}
C28,P780527,{'weight': 3}
C28,P854537,{'weight': 2}
C28,P918287,{'weight': 3}
C28,P999066,{'weight': 4}
C28,P1125668,{'weight': 2}
C28,P1790012,{'weight': 2}
C28,P2509089,{'weight': 4}
C477,P549,{'weight': 5}
C477,P714,{'weight': 3}
C477,P16101,{'weight': 2}
C477,P17695,{'weight': 26}
C477,P24521,{'weight': 3}
C477,P51061,{'weight': 2}
C477,P64372,{'weight': 2}
C477,P91922,{'weight': 2}
C477,P179103,{'weight': 13}
C477,P419371,{'weight': 2}
C477,P425620,{'weight': 10}
C477,P510442,{'weight': 7}
C477,P579740,{'weight': 2}
C477,P627895,{'weight': 3}
C477,P723990,{'weight': 2}
C477,P1660725,{'weight': 2}
C477,P2509089,{'weight': 3}
C819,P28,{'weight': 5}
C819,P477,{'weight': 24}
C819,P2991,{'weight': 3}
C819,P3494,{'weight': 2}
C819,P3558,{'weight': 10}
C819,P5327,{'weight': 2}
C819,P6930,{'weight': 9}
C819,P8778,{'weight': 3}
C819,P9335,{'weight': 2}
C819,P10999,{'weight': 2}
C819,P12636,{'weight': 2}
C819,P12809,{'weight': 4}
C819,P13377,{'weight': 14}
C819,P13979,{'weight': 50}
C819,P15206,{'weight': 5}
C819,P16101,{'weight': 19}
C819,P16131,{'weight': 5}
C819,P17695,{'weight': 45}
C819,P21370,{'weight': 2}
C819,P24754,{'weight': 5}
C819,P26905,{'weight': 2}
C819,P28037,{'weight': 22}
C819,P32763,{'weight': 8}
C819,P34038,{'weight': 4}
C819,P39752,{'weight': 4}
C819,P41234,{'weight': 7}
C819,P50920,{'weight': 3}
C819,P51061,{'weight': 2}
C819,P60643,{'weight': 2}
C819,P71824,{'weight': 2}
C819,P81261,{'weight': 3}
C819,P81911,{'weight': 3}
C819,P84767,{'weight': 2}
C819,P116021,{'weight': 2}
C819,P141551,{'weight': 2}
C819,P143067,{'weight': 3}
C819,P170354,{'weight': 2}
C819,P179103,{'weight': 64}
C819,P227567,{'weight': 6}
C819,P230072,{'weight': 2}
C819,P281095,{'weight': 3}
C819,P290522,{'weight': 4}
C819,P336699,{'weight': 3}
C819,P385459,{'weight': 2}
C819,P398213,{'weight': 11}
C819,P409010,{'weight': 2}
C819,P419371,{'weight': 6}
C819,P425620,{'weight': 10}
C819,P445370,{'weight': 2}
C819,P451364,{'weight': 3}
C819,P477643,{'weight': 3}
C819,P491170,{'weight': 2}
C819,P507754,{'weight': 3}
C819,P510442,{'weight': 2}
C819,P534826,{'weight': 2}
C819,P660596,{'weight': 2}
C819,P677256,{'weight': 2}
C819,P740345,{'weight': 2}
C819,P777896,{'weight': 3}
C819,P826641,{'weight': 7}
C819,P879015,{'weight': 3}
C819,P892862,{'weight': 3}
C819,P914944,{'weight': 2}
C819,P996996,{'weight': 2}
C819,P1022225,{'weight': 2}
C819,P1439513,{'weight': 2}
C819,P1530852,{'weight': 2}
C819,P2509089,{'weight': 2}
C851,P28,{'weight': 4}
C851,P819,{'weight': 3}
C851,P3558,{'weight': 6}
C851,P10999,{'weight': 2}
C851,P13979,{'weight': 2}
C851,P16131,{'weight': 4}
C851,P17695,{'weight': 4}
C851,P39752,{'weight': 2}
C851,P165078,{'weight': 2}
C851,P179103,{'weight': 3}
C851,P294211,{'weight': 2}
C851,P507754,{'weight': 2}
C851,P725571,{'weight': 2}
C1928,P28,{'weight': 4}
C1928,P477,{'weight': 2}
C1928,P3558,{'weight': 6}
C1928,P13377,{'weight': 5}
C1928,P16101,{'weight': 9}
C1928,P16131,{'weight': 2}
C1928,P17695,{'weight': 4}
C1928,P28726,{'weight': 2}
C1928,P32652,{'weight': 2}
C1928,P33569,{'weight': 2}
C1928,P34038,{'weight': 2}
C1928,P41234,{'weight': 8}
C1928,P60643,{'weight': 3}
C1928,P81261,{'weight': 2}
C1928,P102040,{'weight': 2}
C1928,P113689,{'weight': 2}
C1928,P168642,{'weight': 3}
C1928,P179103,{'weight': 5}
C1928,P290522,{'weight': 4}
C1928,P294211,{'weight': 3}
C1928,P297045,{'weight': 3}
C1928,P395294,{'weight': 20}
C1928,P725571,{'weight': 9}
C1928,P854537,{'weight': 2}
C1928,P2509089,{'weight': 3}
C2492,P2873,{'weight': 2}
C2492,P9572,{'weight': 2}
C2492,P13377,{'weight': 2}
C2492,P15206,{'weight': 9}
C2492,P17695,{'weight': 20}
C2492,P19715,{'weight': 2}
C2492,P38280,{'weight': 2}
C2492,P41234,{'weight': 2}
C2492,P60643,{'weight': 2}
C2492,P170354,{'weight': 2}
C2492,P425620,{'weight': 7}
C2492,P477643,{'weight': 3}
C2492,P660596,{'weight': 2}
C2492,P769610,{'weight': 2}
C2492,P1772002,{'weight': 2}
C2492,P2163837,{'weight': 2}
C2492,P2917974,{'weight': 3}
C2692,P28,{'weight': 10}
C2692,P477,{'weight': 2}
C2692,P819,{'weight': 8}
C2692,P4915,{'weight': 4}
C2692,P5327,{'weight': 34}
C2692,P6930,{'weight': 2}
C2692,P10999,{'weight': 3}
C2692,P11882,{'weight': 2}
C2692,P12636,{'weight': 2}
C2692,P13979,{'weight': 5}
C2692,P16101,{'weight': 40}
C2692,P16131,{'weight': 2}
C2692,P17695,{'weight': 25}
C2692,P19435,{'weight': 2}
C2692,P24521,{'weight': 2}
C2692,P25480,{'weight': 10}
C2692,P26610,{'weight': 2}
C2692,P26905,{'weight': 3}
C2692,P28037,{'weight': 5}
C2692,P29066,{'weight': 2}
C2692,P29392,{'weight': 2}
C2692,P34038,{'weight': 4}
C2692,P51061,{'weight': 4}
C2692,P60643,{'weight': 3}
C2692,P64372,{'weight': 22}
C2692,P71824,{'weight': 3}
C2692,P97992,{'weight': 2}
C2692,P104025,{'weight': 2}
C2692,P113689,{'weight': 3}
C2692,P141551,{'weight': 5}
C2692,P165078,{'weight': 2}
C2692,P179103,{'weight': 14}
C2692,P217955,{'weight': 4}
C2692,P246983,{'weight': 3}
C2692,P290522,{'weight': 2}
C2692,P314738,{'weight': 2}
C2692,P419371,{'weight': 6}
C2692,P425620,{'weight': 6}
C2692,P427781,{'weight': 8}
C2692,P477643,{'weight': 3}
C2692,P507754,{'weight': 2}
C2692,P510442,{'weight': 33}
C2692,P541014,{'weight': 2}
C2692,P593075,{'weight': 2}
C2692,P677256,{'weight': 2}
C2692,P732799,{'weight': 2}
C2692,P741877,{'weight': 2}
C2692,P946567,{'weight': 2}
C2692,P1557505,{'weight': 2}
C2692,P2509089,{'weight': 4}
C2991,P28,{'weight': 7}
C2991,P354,{'weight': 2}
C2991,P477,{'weight': 3}
C2991,P819,{'weight': 3}
C2991,P947,{'weight': 10}
C2991,P2527,{'weight': 3}
C2991,P2616,{'weight': 2}
C2991,P2692,{'weight': 12}
C2991,P3057,{'weight': 2}
C2991,P3152,{'weight': 3}
C2991,P3494,{'weight': 18}
C2991,P3558,{'weight': 51}
C2991,P4005,{'weight': 2}
C2991,P4862,{'weight': 5}
C2991,P5327,{'weight': 10}
C2991,P6333,{'weight': 3}
C2991,P6930,{'weight': 12}
C2991,P8778,{'weight': 7}
C2991,P9335,{'weight': 5}
C2991,P9638,{'weight': 3}
C2991,P9706,{'weight': 5}
C2991,P10787,{'weight': 3}
C2991,P10999,{'weight': 2}
C2991,P12636,{'weight': 5}
C2991,P13200,{'weight': 4}
C2991,P13377,{'weight': 97}
C2991,P13979,{'weight': 7}
C2991,P15206,{'weight': 3}
C2991,P16101,{'weight': 28}
C2991,P16131,{'weight': 9}
C2991,P17695,{'weight': 40}
C2991,P21370,{'weight': 2}
C2991,P23297,{'weight': 5}
C2991,P25945,{'weight': 4}
C2991,P26905,{'weight': 5}
C2991,P28037,{'weight': 21}
C2991,P28726,{'weight': 2}
C2991,P31080,{'weight': 2}
C2991,P32763,{'weight': 13}
C2991,P34038,{'weight': 12}
C2991,P35076,{'weight': 5}
C2991,P38530,{'weight': 28}
C2991,P41234,{'weight': 31}
C2991,P43815,{'weight': 4}
C2991,P48178,{'weight': 6}
C2991,P51061,{'weight': 7}
C2991,P52839,{'weight': 2}
C2991,P53860,{'weight': 4}
C2991,P59233,{'weight': 4}
C2991,P71824,{'weight': 4}
C2991,P81261,{'weight': 8}
C2991,P91922,{'weight': 2}
C2991,P94051,{'weight': 2}
C2991,P102040,{'weight': 8}
C2991,P104025,{'weight': 2}
C2991,P108264,{'weight': 2}
C2991,P113689,{'weight': 3}
C2991,P133261,{'weight': 4}
C2991,P141551,{'weight': 6}
C2991,P155080,{'weight': 3}
C2991,P165078,{'weight': 5}
C2991,P168545,{'weight': 9}
C2991,P170354,{'weight': 2}
C2991,P179103,{'weight': 97}
C2991,P180811,{'weight': 6}
C2991,P181537,{'weight': 2}
C2991,P195878,{'weight': 7}
C2991,P205278,{'weight': 2}
C2991,P209572,{'weight': 42}
C2991,P216168,{'weight': 3}
C2991,P216905,{'weight': 2}
C2991,P270365,{'weight': 2}
C2991,P275627,{'weight': 2}
C2991,P285024,{'weight': 2}
C2991,P290522,{'weight': 2}
C2991,P294211,{'weight': 16}
C2991,P346436,{'weight': 7}
C2991,P395294,{'weight': 9}
C2991,P398099,{'weight': 2}
C2991,P398213,{'weight': 21}
C2991,P399948,{'weight': 3}
C2991,P419371,{'weight': 9}
C2991,P425620,{'weight': 17}
C2991,P425992,{'weight': 2}
C2991,P438488,{'weight': 4}
C2991,P472970,{'weight': 3}
C2991,P476404,{'weight': 3}
C2991,P477643,{'weight': 4}
C2991,P490794,{'weight': 3}
C2991,P507754,{'weight': 10}
C2991,P510442,{'weight': 6}
C2991,P622593,{'weight': 2}
C2991,P641347,{'weight': 2}
C2991,P645378,{'weight': 3}
C2991,P646850,{'weight': 2}
C2991,P681834,{'weight': 2}
C2991,P735311,{'weight': 13}
C2991,P769610,{'weight': 2}
C2991,P782447,{'weight': 29}
C2991,P788371,{'weight': 6}
C2991,P817462,{'weight': 2}
C2991,P822226,{'weight': 3}
C2991,P854537,{'weight': 4}
C2991,P898721,{'weight': 2}
C2991,P946567,{'weight': 2}
C2991,P1022225,{'weight': 2}
C2991,P1082970,{'weight': 2}
C2991,P1390992,{'weight': 3}
C2991,P1439513,{'weight': 2}
C2991,P1442162,{'weight': 4}
C2991,P1673632,{'weight': 3}
C2991,P1786169,{'weight': 2}
C2991,P2509089,{'weight': 11}
C3494,P28,{'weight': 40}
C3494,P477,{'weight': 4}
C3494,P642,{'weight': 2}
C3494,P819,{'weight': 8}
C3494,P947,{'weight': 2}
C3494,P2616,{'weight': 2}
C3494,P2991,{'weight': 2}
C3494,P3558,{'weight': 10}
C3494,P5179,{'weight': 7}
C3494,P5327,{'weight': 39}
C3494,P6333,{'weight': 2}
C3494,P8778,{'weight': 2}
C3494,P9335,{'weight': 4}
C3494,P9572,{'weight': 16}
C3494,P10999,{'weight': 4}
C3494,P12636,{'weight': 6}
C3494,P13377,{'weight': 4}
C3494,P13979,{'weight': 4}
C3494,P16101,{'weight': 39}
